election_id,age_18_25,age_26_40,age_41_60,age_60_plus,weather,day_of_week,previous_turnout,population_density,voter_turnout
3,22.693941557069376,38.53843539507273,17.28614160981826,7.25482202052554,Cloudy,Weekday,64.62980377474156,Urban,86.80758264420287
2,32.76467617379814,48.04416420006034,30.54742823550462,14.562871732794061,Snowy,Weekend,60.03111311524606,Rural,63.55552751699278
5,11.599844229407726,45.82567311460316,39.71022254008326,17.985645200497217,Rainy,Weekday,60.711455537454036,Rural,68.5629483765168
9,14.976072297126894,36.71446921886257,29.762248691553438,23.877332634278673,Snowy,Weekend,72.31954418779188,Urban,47.31653089682227
9,36.79410473452138,26.675427804528706,33.51568619504509,26.70737929338268,Cloudy,Weekend,40.67205170883288,Urban,62.2462716497366
6,27.11633999425833,43.805659593200716,34.25978084209157,13.294983586512334,Sunny,Weekend,79.07747105639585,Urban,58.953155684756496
4,33.754432028761265,38.928159544200255,28.250099127401583,29.820566512137592,Snowy,Weekend,47.80673396644837,Rural,89.46777050360627
9,38.82646041503391,45.712656147553616,35.08593208374831,9.814847743571057,Sunny,Weekday,70.44619206682654,Rural,51.80184674767686
1,23.292733103502552,35.88273321575054,18.944785242869074,7.24102890815144,Rainy,Weekend,66.37263451543444,Urban,59.922888125838824
6,28.174456915165248,36.42150216120487,36.75905468574247,10.209428309044583,Cloudy,Weekend,66.20684649767232,Urban,88.79772989997512
4,37.50068612469565,49.697285849345704,16.941263426146524,12.602937725360581,Snowy,Weekend,47.1933324855893,Urban,67.59334140273809
4,36.90548984624837,40.4949375135544,15.636045881680058,16.38678871161615,Sunny,Weekend,42.58907800915607,Urban,42.832022666202526
9,25.40464419018336,43.033600188571405,38.61275210371143,19.051986556362593,Snowy,Weekday,49.93919496933859,Rural,55.25144066720108
9,36.88877349570582,30.519215013062677,28.570580611309467,12.714778059793524,Rainy,Weekend,73.17574889416679,Urban,84.72191008026128
9,28.54685274340279,27.93920997235906,37.84262970926682,9.952916179961122,Cloudy,Weekend,75.71262146145736,Rural,47.0763286727496
3,27.16585174226567,24.462472874934395,20.56480821392793,16.027084458959763,Snowy,Weekend,66.53420208043727,Rural,58.09176180075332
1,32.960809756416765,24.8443485681821,24.346223755132634,11.26120247945146,Rainy,Weekday,46.931396097703136,Rural,53.17770497487883
3,19.294801545824328,26.46609797106268,36.22485754120646,5.663091533441912,Rainy,Weekend,67.00967728957883,Urban,89.40606984700992
1,15.605922449053821,21.323665661701526,24.58408041511948,18.158002381965254,Rainy,Weekday,68.42705698145235,Rural,73.38595547311765
8,38.12682696587271,20.34025357663735,29.419946810561328,6.085975113473997,Rainy,Weekday,67.77873225750604,Rural,63.947301328410525
9,26.777222407886264,28.531617097256575,26.533359660941798,7.494567452818858,Snowy,Weekday,74.38807644124964,Rural,77.50654445963562
5,11.99561196277727,46.812961196387015,38.02265461316841,11.730370725512184,Snowy,Weekend,62.7835131571899,Rural,71.08021464198572
4,26.126014958332682,28.066839411240885,34.95726678491103,13.188107713076196,Snowy,Weekend,49.741392242552166,Urban,59.692557006773484
3,15.162827005667845,42.65966391448207,34.566871304213365,16.228747858300324,Cloudy,Weekday,55.197641095188146,Urban,84.40247591661227
8,27.0029876458299,40.99121607476846,25.590362599136057,18.81210448747346,Sunny,Weekend,46.40210958200153,Rural,42.023655807083145
9,30.195057273574292,39.51351497488771,30.422346939927905,12.111666363170176,Rainy,Weekday,45.84700713406336,Rural,79.86925168349632
6,38.6368792065183,49.24961998237086,15.624246307408008,23.018076743533143,Cloudy,Weekend,56.89208060231034,Urban,81.33163659562521
3,37.65086817077682,40.30535799216585,33.41122275118333,19.387587499196428,Cloudy,Weekday,44.95310916891404,Rural,59.973876295182585
1,13.949785028821722,37.72351540181438,35.888559388831794,15.806746886307034,Snowy,Weekend,59.77742463053198,Urban,51.98855373124284
2,36.20032945773917,44.06061922070628,17.95628116132941,22.355640354507802,Sunny,Weekend,59.86462845962414,Urban,77.72751086962833
7,16.79176948379585,43.38283317339825,30.294806798841975,27.150422585459328,Snowy,Weekday,58.2957584840926,Rural,67.36397508439521
2,11.278707631577733,30.188838882645364,23.29942411018733,15.924456416570374,Sunny,Weekday,64.26056480808948,Rural,52.618713623675404
8,20.310513860502518,37.0337868379746,20.183763692121452,25.995963008981068,Sunny,Weekend,62.62899771262447,Rural,64.81797210488222
8,33.34667925915039,30.214780456838643,16.636375633309477,27.999968369716438,Sunny,Weekend,53.52442712399201,Urban,66.58442718074627
4,38.644138108610804,43.0037090078672,30.534028888419975,24.264106787528167,Snowy,Weekend,73.31648738875808,Rural,55.946228997757885
6,35.59403206561984,23.06586258568366,35.60942210310333,17.424757570255263,Cloudy,Weekday,79.8278084723564,Rural,63.921467477652875
9,39.91978050994614,28.765580241832883,19.34214438709686,23.746063243826566,Sunny,Weekday,79.73132184397546,Urban,41.32099627623407
1,26.594774348357056,28.292984018626903,24.24602004156744,18.137163024749594,Rainy,Weekday,72.03309026947613,Urban,83.01401883213563
5,39.66727763911342,39.50524800007496,25.876018172761032,5.3786472810455965,Snowy,Weekday,44.51272510477072,Urban,67.34575663714269
8,25.993832614708758,24.58610432126544,17.717544877209015,19.509454617575546,Cloudy,Weekday,47.53444598115613,Rural,54.5829240982418
4,38.276617040838275,20.574969619825477,36.94578495352218,10.568947012767664,Sunny,Weekend,79.14920179375851,Urban,45.95944010440491
5,21.756815325577993,47.8096348702324,19.11627187114253,11.85718455363511,Cloudy,Weekend,59.15482133493059,Urban,73.56731577125582
3,35.34388981118408,22.670269920234738,26.759565587967664,8.963935930098907,Rainy,Weekday,46.21354615775764,Urban,53.148498328134394
